location,hour,day_of_week,month,base_fare
13,8,4,3,51
3,14,3,3,65
9,7,5,2,127
9,9,5,3,118
10,12,4,1,128
0,2,5,1,54
12,3,5,2,85
7,17,5,2,123
2,22,6,1,140
1,21,0,2,106
8,22,2,3,112
9,5,0,1,98
14,2,2,1,146
11,1,5,3,77
1,19,3,1,111
8,8,1,3,94
13,20,0,2,121
3,6,0,2,78
8,21,2,3,141
3,14,5,2,129
11,3,6,3,74
10,1,1,2,114
2,19,5,1,121
11,22,6,2,106
6,23,0,1,110
15,21,1,3,104
3,9,6,3,96
7,9,2,1,110
10,13,6,2,93
6,8,1,3,63
12,4,3,1,86
4,7,5,1,75
13,0,1,1,68
1,7,0,1,116
7,12,6,1,66
6,20,5,2,75
3,0,0,3,68
5,9,6,1,99
12,17,2,2,112
6,11,3,1,93
5,9,5,1,65
7,19,0,1,104
4,10,2,1,96
9,7,3,3,106
2,0,0,1,125
2,23,6,2,66
14,18,2,3,148
12,20,6,1,98
15,19,5,1,129
9,11,4,1,129
5,16,2,3,75
11,7,0,1,144
14,23,0,2,71
0,23,2,3,110
7,15,2,3,116
8,22,1,3,125
9,1,0,3,144
10,15,3,3,97
15,9,6,2,125
5,7,5,3,130
2,11,3,2,97
11,7,4,1,133
7,3,1,1,141
15,2,2,1,57
8,23,6,1,75
0,21,0,1,87
6,13,3,2,112
13,12,1,1,67
14,11,2,2,59
6,15,2,3,71
15,6,0,1,121
11,0,4,1,109
5,14,5,3,125
2,18,3,3,142
0,14,1,1,106
8,14,1,3,63
6,18,2,1,102
15,7,0,1,74
13,22,2,3,63
11,5,4,3,116
4,12,2,1,55
12,0,4,2,70
2,15,4,2,124
11,6,0,1,83
3,17,0,2,93
14,3,2,2,133
0,2,3,1,85
0,5,0,1,54
8,2,0,1,108
0,10,1,2,76
14,3,4,2,123
9,17,6,2,83
0,23,3,1,127
9,17,6,2,53
15,12,3,1,131
10,12,2,2,59
6,0,3,2,111
15,11,0,3,95
12,15,0,1,120
10,12,2,3,120
4,23,1,2,122
15,3,6,2,104
1,5,2,1,50
3,16,6,2,136
1,13,4,1,113
3,11,3,2,91
0,6,6,3,54
3,14,1,3,92
13,11,4,1,133
1,5,6,1,65
3,7,3,3,94
2,17,6,2,140
4,14,2,3,84
13,3,6,3,88
6,18,5,2,130
13,0,1,1,118
8,4,4,1,120
9,9,2,1,121
13,9,4,1,61
3,22,4,1,91
12,18,4,2,122
2,21,5,2,98
3,10,6,3,122
14,5,3,1,149
5,17,3,2,114
14,19,1,2,123
11,8,0,1,127
2,22,5,2,85
11,16,5,3,136
9,9,4,3,81
4,17,4,1,94
12,13,6,1,61
15,14,3,3,131
11,14,0,3,74
1,1,2,3,137
12,2,0,1,79
12,5,6,2,59
13,1,1,1,142
6,13,1,2,53
3,1,0,3,72
11,4,4,2,77
1,21,0,1,137
0,12,4,3,61
6,8,5,1,85
6,3,0,1,62
5,2,5,3,75
11,1,5,2,117
14,15,6,2,143
1,15,2,2,113
11,21,1,3,119
7,16,6,2,139
4,9,6,1,132
6,5,0,2,100
1,14,3,3,67
10,0,3,3,68
9,21,2,1,68
1,3,3,1,144
8,8,2,3,145
15,17,6,1,66
9,6,3,3,53
3,0,1,1,95
14,6,2,3,91
5,13,6,3,92
12,14,0,1,105
14,13,0,1,89
13,12,6,2,98
0,6,6,2,99
14,13,0,3,83
12,4,2,1,64
9,18,0,1,68
5,12,4,1,133
14,20,2,3,105
0,13,5,1,90
6,7,2,3,101
7,13,3,3,76
11,3,1,1,141
13,11,6,1,109
9,14,6,3,123
13,21,3,2,94
12,22,3,2,110
10,3,2,3,130
7,16,5,3,110
6,10,3,2,90
10,8,1,1,88
9,2,6,2,84
12,7,2,3,108
0,22,1,2,111
1,7,2,3,85
7,16,1,1,71
1,3,6,1,138
8,17,1,2,133
2,9,3,3,85
4,3,4,2,90
5,4,6,1,73
9,0,6,1,107
7,0,4,3,93
4,0,6,2,149
2,23,1,2,86
3,7,2,1,95
11,4,0,3,53
1,22,2,3,144
9,20,4,3,110
2,3,3,3,53
0,16,6,3,150
0,7,5,2,98
5,13,5,2,80
1,15,6,3,64
8,6,0,1,150
5,13,0,3,124
12,20,1,1,122
7,15,6,1,98
13,5,1,3,73
9,14,5,1,67
14,0,3,3,102
14,19,6,2,131
6,19,6,1,142
4,11,5,2,129
12,19,6,2,53
5,16,5,2,97
5,3,4,1,106
10,5,1,1,51
6,14,6,3,87
7,20,0,1,96
8,23,2,2,55
15,9,3,3,143
12,19,4,1,147
3,4,6,3,140
0,16,1,2,100
9,22,5,1,130
7,11,1,3,58
5,11,2,1,65
1,12,5,3,86
10,10,4,3,92
8,5,3,3,87
1,21,4,1,68
5,14,3,3,75
13,9,5,1,125
0,10,6,3,63
15,6,5,2,107
14,10,5,1,133
2,12,6,2,104
9,10,0,2,114
3,16,5,3,67
5,23,3,3,105
2,9,1,1,111
5,7,2,3,111
15,18,5,3,150
7,5,6,3,123
11,13,1,3,78
12,18,0,2,117
1,3,4,2,143
10,10,2,3,122
1,21,6,3,80
14,9,2,2,143
2,6,6,3,57
15,17,3,3,140
2,10,2,2,132
4,0,2,1,143
9,14,3,1,129
4,14,5,3,60
4,8,4,3,94
8,5,5,1,60
6,11,2,2,130
11,1,1,3,104
10,1,6,1,132
5,4,2,2,138
4,1,5,2,150
9,10,5,3,83
15,8,4,2,131
9,14,2,1,99
0,12,1,3,86
8,10,1,3,81
13,13,6,3,85
15,0,0,1,69
6,3,3,2,121
9,19,0,1,136
15,4,3,3,101
3,5,4,2,105
0,18,2,1,50
15,12,4,1,55
15,8,5,3,92
6,12,2,1,106
6,20,2,3,72
5,1,0,3,67
14,17,5,1,89
8,8,2,2,98
7,15,6,1,123
9,8,0,2,122
1,10,1,3,54
4,16,3,1,114
5,15,4,3,66
14,4,4,2,60
6,19,4,1,107
14,1,5,3,102
15,6,4,3,93
10,19,3,1,139
3,12,6,2,76
13,2,2,1,96
9,13,3,1,76
9,11,2,1,50
11,20,0,2,84
7,10,1,1,145
3,1,3,1,143
7,13,3,1,98
6,14,5,1,81
2,16,1,3,143
5,14,3,1,138
14,15,1,1,83
7,4,2,3,51
3,16,0,2,57
1,23,1,1,110
9,21,6,2,112
4,12,2,3,73
1,4,4,1,105
10,3,0,2,92
9,19,3,2,58
0,5,1,1,136
10,13,2,2,85
1,4,6,1,89
9,10,0,1,110
0,15,2,2,145
12,22,2,3,51
12,11,1,1,147
5,0,1,2,77
9,22,6,1,125
11,11,2,3,87
5,22,3,2,81
0,23,1,2,99
8,17,2,1,93
1,11,4,3,81
5,16,2,1,53
3,19,3,3,135
1,12,3,3,72
0,18,0,2,117
12,11,2,2,109
8,21,3,3,97
1,7,1,2,142
7,6,5,3,100
14,3,5,3,100
14,14,6,2,64
14,9,0,2,103
6,22,2,2,149
6,15,2,1,125
3,18,2,1,65
1,11,4,1,63
12,4,1,1,77
2,21,1,3,79
6,19,4,3,65
1,23,4,1,145
7,17,6,2,114
12,20,1,2,53
14,0,4,2,116
1,18,4,1,53
12,14,4,3,132
5,4,4,1,83
12,18,5,2,108
1,19,5,1,86
11,7,3,1,65
6,22,6,1,57
13,23,0,3,129
15,6,6,3,51
14,8,1,2,126
4,6,3,2,138
12,3,5,3,138
14,4,2,3,82
10,22,5,1,97
0,9,4,1,109
15,17,4,2,83
1,10,2,2,54
9,10,3,1,91
13,6,5,3,106
13,19,6,3,117
13,8,2,3,81
6,9,6,3,140
0,20,2,3,117
10,6,0,3,138
15,2,4,3,87
7,0,0,2,83
2,13,1,2,140
5,2,5,2,107
10,12,2,3,146
1,16,6,2,74
3,10,0,3,101
8,17,3,1,130
13,15,4,2,130
11,3,4,1,94
4,11,6,2,93
1,13,0,1,60
0,10,4,2,125
11,21,1,3,141
15,17,0,1,106
1,19,5,1,138
10,18,0,1,109
3,13,5,1,147
7,19,0,3,149
15,9,2,3,120
14,16,3,1,76
2,10,3,1,87
10,1,2,3,102
12,11,6,3,66
12,14,1,1,137
11,17,0,3,71
1,3,2,1,113
11,13,2,3,64
15,22,0,3,99
12,11,4,3,61
7,13,2,3,118
9,8,1,1,64
11,3,5,2,57
13,0,3,1,106
8,5,0,1,53
8,10,5,2,101
1,6,2,2,104
15,7,0,2,128
4,23,4,3,74
9,19,2,3,126
14,3,2,3,120
8,20,2,3,115
4,19,4,3,128
15,17,1,1,91
15,10,6,2,54
10,0,2,3,124
8,12,3,3,145
4,18,0,1,142
3,14,6,3,51
8,11,2,1,123
9,23,3,3,83
13,21,3,1,127
4,20,5,1,123
4,3,6,2,103
6,9,5,2,122
2,10,5,2,133
2,19,2,3,144
9,12,5,1,123
7,17,1,1,87
10,11,6,2,69
6,2,4,1,131
7,10,3,3,103
4,21,1,3,102
11,10,0,3,59
4,11,4,1,114
13,4,2,3,132
8,18,6,3,86
11,21,1,1,123
3,16,1,3,60
12,0,1,3,111
4,1,1,1,132
13,3,4,2,141
9,4,2,1,106
12,3,2,2,63
0,0,1,2,64
5,23,6,1,142
5,7,2,1,89
4,17,2,3,99
11,1,2,3,142
1,5,5,1,95
8,9,4,1,120
8,12,6,1,126
13,4,2,2,74
4,2,6,2,136
10,14,6,1,84
9,23,6,1,131
4,18,4,2,67
2,6,1,1,130
14,1,2,3,108
3,0,5,3,114
14,18,3,2,85
13,20,2,3,147
2,23,6,1,67
15,4,5,1,81
8,20,5,1,150
7,19,5,2,138
12,21,2,3,149
8,17,3,2,124
13,23,0,1,71
4,17,1,1,143
8,20,2,1,88
11,3,5,3,142
8,3,6,2,78
11,16,4,1,148
4,23,4,3,61
6,12,0,3,102
15,21,1,2,103
2,7,2,1,107
15,1,3,2,62
3,9,6,1,140
1,15,6,1,91
13,18,4,3,128
12,22,3,2,70
11,17,3,2,95
12,13,0,2,59
0,9,0,3,72
15,19,4,2,71
14,19,6,3,140
1,19,6,1,148
1,8,1,3,134
5,14,2,3,146
1,5,2,2,57
8,21,4,3,132
5,12,5,2,148
8,20,1,1,116
12,16,1,3,133
11,20,6,1,79
0,22,2,2,65
15,21,4,1,85
8,4,1,2,126
14,10,5,1,96
15,0,5,2,77
12,22,6,3,60
15,17,0,2,112
4,12,3,3,85
0,10,1,1,119
13,22,6,1,103
13,5,4,3,126
0,16,4,2,101
7,6,6,3,84
9,7,1,3,66
9,13,2,3,55
7,14,0,2,71
0,0,4,2,119
11,2,0,2,139
13,3,5,3,57
13,6,5,1,108
3,3,0,1,74
7,16,4,2,143
14,7,5,1,82
2,17,5,2,146
6,15,1,1,115
4,23,3,3,141
8,6,0,2,87
11,2,5,2,61
5,17,2,2,52
4,12,0,1,84
9,5,5,2,117
2,9,5,3,81
12,16,5,1,141
8,21,3,1,108
3,22,5,1,111
1,23,5,1,104
13,17,4,2,129
7,11,5,2,104
15,23,2,2,57
12,8,2,1,134
9,18,1,2,137
13,7,3,3,65
9,19,5,2,116
6,8,6,3,59
12,4,0,2,122
11,17,1,3,71
0,2,1,3,138
5,8,4,2,86
1,7,5,2,149
9,17,5,3,70
15,16,4,3,102
8,22,3,2,111
1,8,3,1,72
5,8,5,2,133
13,16,1,2,146
5,9,3,2,55
14,15,2,3,123
5,3,6,2,71
3,10,5,3,91
1,2,1,3,60
2,14,4,2,133
0,9,6,3,149
10,17,5,1,135
13,23,6,2,137
15,21,3,3,149
12,22,2,3,101
6,16,5,1,77
5,23,6,1,140
8,23,1,3,148
4,6,2,3,125
8,14,1,1,116
6,15,4,2,87
4,10,0,1,73
3,13,5,3,72
8,2,1,2,112
9,12,2,1,113
8,5,3,2,127
10,7,4,1,127
2,1,0,2,141
14,20,1,1,58
1,0,6,1,141
0,18,3,2,89
10,3,4,1,117
11,23,2,1,61
7,8,0,3,57
14,5,5,2,138
5,15,1,1,108
9,22,0,1,85
11,8,6,1,70
8,9,5,3,109
8,2,4,3,145
13,16,1,3,85
1,17,4,3,52
5,14,6,2,60
11,5,1,3,121
6,15,4,2,125
0,16,0,1,76
4,1,2,2,125
9,15,2,3,140
2,19,6,2,111
6,16,2,3,96
14,1,2,3,62
1,16,2,1,135
14,5,3,2,148
7,1,3,3,81
4,21,4,3,79
7,5,0,2,54
0,22,2,1,81
5,12,6,3,66
8,19,4,1,66
14,5,1,1,61
6,7,6,1,100
13,18,6,2,114
15,21,0,1,109
5,15,2,3,73
15,6,6,1,85
8,14,0,1,80
3,2,3,3,88
9,18,5,3,59
5,11,2,3,91
12,18,3,3,149
4,3,2,1,52
15,23,1,3,129
8,19,4,2,52
13,21,0,1,110
3,19,1,2,105
3,12,6,1,107
10,5,1,1,112
4,3,6,1,128
0,6,3,2,103
7,18,4,3,94
0,12,0,2,123
15,18,3,1,109
6,13,5,1,71
9,2,5,2,142
13,10,4,2,80
3,19,5,3,50
4,19,6,2,54
1,0,5,3,50
3,11,2,1,61
7,20,6,3,105
3,15,5,1,98
5,7,5,1,143
11,14,1,1,136
0,0,5,1,95
10,19,2,3,116
6,15,3,3,107
9,4,4,2,115
13,10,4,2,63
14,4,6,2,102
7,22,3,3,150
9,1,4,1,133
6,15,0,1,138
14,18,6,1,72
7,10,6,1,82
3,15,4,1,148
0,5,6,1,125
13,3,0,2,112
11,4,4,1,73
10,6,5,2,55
7,2,4,2,132
7,18,3,2,72
14,18,4,3,103
11,23,4,1,88
12,23,3,2,57
2,5,0,2,73
0,12,5,1,88
14,0,3,3,108
12,23,3,1,59
3,14,0,3,150
2,15,2,1,97
5,23,4,2,149
13,7,1,1,88
5,11,0,3,61
2,20,2,1,69
7,9,6,2,56
3,17,4,3,51
1,16,1,3,148
7,19,6,2,87
10,13,5,3,81
5,9,2,3,78
13,22,2,2,60
2,7,4,2,118
4,19,5,1,64
4,3,5,2,134
2,5,2,1,128
3,2,3,1,130
11,16,5,2,82
0,10,1,3,98
2,12,4,3,109
2,2,2,1,84
8,12,1,2,76
6,0,5,2,68
11,6,4,3,113
7,12,0,1,73
4,19,3,2,103
4,20,4,1,74
6,0,3,1,74
8,16,0,2,144
12,17,0,1,82
4,1,5,2,122
1,11,6,2,133
11,10,4,3,70
3,23,6,1,119
6,3,0,1,148
8,2,3,3,67
1,11,1,3,76
15,11,4,1,97
10,18,4,2,111
9,13,6,2,102
8,22,0,1,147
9,9,1,1,73
6,15,5,1,124
13,19,3,2,144
10,1,2,3,80
12,15,2,2,111
5,16,2,3,51
7,4,5,1,92
10,1,1,1,133
15,1,0,1,141
11,21,3,3,56
0,7,4,2,66
9,17,3,2,101
0,11,4,3,106
14,2,5,3,104
15,22,6,2,103
2,20,6,1,85
3,2,2,1,107
13,11,0,1,137
2,4,1,2,67
2,12,5,1,82
11,0,2,3,128
14,14,0,3,55
5,2,3,2,67
7,14,2,2,111
2,23,5,2,148
11,1,0,3,142
14,20,6,3,88
14,23,2,2,73
8,22,5,3,117
2,13,5,2,127
10,16,0,2,86
1,21,6,2,143
9,12,6,1,74
5,4,6,2,93
5,17,4,2,127
10,23,2,3,57
11,11,4,1,103
15,17,3,2,91
12,5,0,2,82
0,4,5,2,102
4,10,5,2,145
8,19,6,1,77
1,2,6,2,107
5,3,4,2,117
3,16,4,3,116
0,4,2,1,120
10,3,1,1,90
9,1,0,3,114
6,12,2,1,135
9,19,6,3,93
12,11,6,1,89
4,2,5,3,107
2,15,0,2,139
12,18,0,1,98
8,4,5,2,65
10,8,0,1,136
14,16,1,2,71
4,6,6,3,54
4,7,1,1,139
8,18,0,1,116
3,7,6,3,62
3,9,1,3,119
8,21,4,3,102
10,10,3,1,132
8,3,1,2,123
4,3,2,3,51
1,23,6,1,145
4,3,2,3,114
4,19,1,2,78
10,17,2,3,132
2,14,6,1,76
14,11,2,3,72
9,1,6,2,65
10,8,6,1,83
12,19,4,3,85
15,4,5,1,95
7,5,5,2,78
12,17,6,3,58
2,14,3,2,145
7,10,0,3,138
1,19,4,2,141
8,8,3,2,82
14,10,2,2,117
10,1,2,2,83
2,23,0,1,119
11,8,2,2,78
0,12,3,2,72
4,1,6,1,148
6,20,4,2,74
6,10,5,3,119
5,6,4,1,111
15,13,1,1,87
8,11,0,3,52
6,9,6,2,58
10,19,6,1,87
9,19,1,2,85
6,13,1,3,115
8,10,6,1,138
15,19,6,2,143
6,14,3,3,58
14,13,2,1,150
10,11,0,2,120
0,22,3,3,52
11,19,4,2,113
14,23,3,3,58
0,17,5,3,129
3,4,2,3,86
1,17,3,1,50
7,3,4,1,89
14,2,3,3,89
10,15,6,1,135
14,22,4,3,139
12,4,2,1,56
7,3,4,3,146
14,6,4,2,146
11,10,4,3,89
3,9,5,1,73
4,16,0,3,95
6,16,5,3,87
6,3,4,2,102
7,14,6,2,126
9,10,6,3,136
7,14,1,2,91
0,1,5,3,138
9,1,3,3,78
3,22,3,1,92
1,17,5,3,74
13,6,6,2,51
5,15,0,2,129
15,14,3,1,76
7,17,1,1,126
10,21,5,3,60
13,4,5,2,123
3,23,1,1,109
10,21,2,1,92
1,18,6,2,145
5,1,1,3,133
5,21,1,1,109
8,4,6,1,143
14,5,1,1,109
9,2,4,3,127
2,2,3,1,146
9,5,1,2,97
6,8,2,3,71
7,5,4,1,94
5,8,2,1,51
6,3,6,2,134
12,4,1,2,70
4,19,3,3,103
7,13,6,1,92
10,7,1,1,69
7,21,3,1,104
14,12,0,3,86
8,21,2,3,131
9,14,1,3,114
12,1,1,2,58
2,8,0,1,53
6,14,1,1,139
1,9,4,1,148
1,16,4,3,150
13,22,5,1,136
13,13,4,3,122
10,9,2,2,121
4,22,6,2,125
8,0,1,1,117
7,19,1,3,143
1,10,0,1,68
5,18,3,3,67
5,4,0,3,123
0,23,2,3,121
10,9,4,3,64
1,4,6,3,140
8,22,5,3,55
9,19,4,2,129
12,2,2,3,110
9,19,1,3,55
10,17,3,3,114
9,9,6,3,80
6,12,2,3,109
12,3,0,1,90
5,16,4,1,86
4,0,3,2,56
3,6,4,3,99
3,0,2,1,62
12,20,4,1,141
1,0,0,3,106
12,16,1,3,119
0,12,1,2,98
12,4,3,3,60
8,5,4,2,53
2,5,0,1,149
14,5,4,3,128
8,10,3,2,85
4,1,3,3,110
14,17,0,2,88
8,7,0,1,111
4,10,1,3,108
2,14,3,3,85
0,16,1,1,121
15,20,2,2,97
9,14,6,2,67
5,13,0,2,62
7,14,5,1,67
12,6,5,2,74
3,18,1,1,115
7,7,5,3,142
3,15,3,3,69
7,9,6,1,91
4,5,0,1,140
0,12,2,2,65
15,3,4,3,139
2,20,0,2,104
10,12,1,2,123
5,19,3,1,93
12,5,1,1,111
1,5,4,1,141
8,2,5,2,101
3,18,0,1,83
4,8,3,3,115
11,3,3,3,114
1,20,2,2,105
13,17,3,2,96
0,11,5,2,103
4,8,0,2,64
5,18,2,3,79
0,15,6,2,72
2,18,4,2,137
6,16,3,1,99
11,4,3,3,50
15,11,6,2,76
6,10,3,2,147
7,9,3,3,144
4,20,6,1,55
1,0,2,1,125
15,17,1,3,105
4,3,1,3,61
12,19,0,1,98
11,18,6,2,147
6,16,3,1,62
5,22,5,1,77
8,23,6,3,132
1,15,4,1,68
0,4,1,3,81
4,14,4,2,114
3,11,0,2,89
9,16,3,3,86
4,20,1,3,59
2,2,2,2,114
13,13,5,3,145
2,13,3,2,79
14,2,4,2,80
5,22,0,1,131
10,6,2,2,125
3,10,4,1,76
7,16,0,1,148
12,10,4,1,90
15,19,5,2,54
3,7,3,3,71
11,11,0,1,134
11,2,1,3,106
1,14,5,1,123
0,0,0,1,86
13,20,4,1,146
15,22,4,1,54
11,7,4,3,68
6,12,4,2,81
13,4,6,3,140
5,12,0,3,142
13,13,0,3,100
0,23,5,2,120
3,2,4,2,73
3,20,2,2,107
6,7,6,1,119
11,6,2,3,99
9,4,0,1,113
12,9,2,2,111
8,12,3,3,126
11,15,0,3,83
1,15,1,3,134
6,14,3,1,81
9,7,6,2,118
4,7,5,2,127
8,17,2,3,65
6,14,4,3,79
2,3,6,2,79
4,16,5,2,75
3,16,0,1,130
14,23,4,3,112
1,2,1,1,83
1,17,4,2,106
8,17,3,3,114
5,20,1,3,132
15,3,2,1,99
4,14,3,3,126
8,11,6,2,68
10,6,0,2,131
7,20,1,1,142
4,9,3,1,141
15,1,6,3,133
14,9,1,2,101
7,14,4,2,50
15,19,0,1,112
10,2,2,3,55
1,15,0,2,53
1,19,5,2,129
11,1,1,2,74
9,3,4,3,59
10,11,0,2,68
11,22,0,1,105
9,0,0,2,134
3,15,0,3,100
10,15,0,2,81
11,2,2,3,142
13,0,4,3,104
12,3,3,2,75
14,8,4,3,128
4,5,5,2,130
4,13,2,3,52
0,22,1,2,115
4,23,1,3,50
10,21,5,3,97
10,17,5,2,115
14,4,0,1,115
10,11,5,2,97
12,7,6,2,69
1,18,0,1,102
5,13,3,2,132
10,2,0,3,71
8,15,0,3,89
8,20,3,3,150
15,21,4,3,64
4,18,2,1,145
6,20,6,2,147
15,15,4,3,118
10,16,0,2,130
11,10,4,2,90
4,11,1,3,114
10,0,4,1,113
7,5,1,1,121
5,11,0,1,100
10,12,6,2,106
12,19,1,1,125
14,6,5,3,144
4,2,5,1,122
3,6,0,1,59
3,6,6,2,65
4,9,2,2,55
13,21,6,2,69
12,23,1,1,103
13,4,2,3,92
12,23,5,2,87
1,5,5,2,149
5,17,4,3,58
13,8,2,1,82
1,2,5,2,106
8,17,3,3,82
3,10,1,1,107
15,6,2,1,136
3,22,2,2,134
10,6,2,3,121
9,14,6,3,66
15,17,0,3,142
2,1,0,3,132
4,4,0,1,129
9,2,4,1,61
2,12,0,1,81
9,10,5,3,58
10,19,3,3,69
8,22,3,1,113
4,12,6,1,61
14,17,3,2,125
12,22,0,3,72
5,16,2,1,113
9,7,3,1,129
11,4,3,1,66
2,18,6,3,140
3,8,4,1,68
10,5,3,3,75
0,10,1,1,91
7,11,2,3,67
10,21,4,1,92
3,5,0,1,134
14,9,5,1,124
11,21,0,1,83
10,19,4,2,127
5,13,3,3,88
4,9,2,1,144
5,17,4,3,59
13,17,0,2,77
13,8,3,3,130
15,20,1,1,57
12,18,6,3,97
7,18,6,3,121
10,19,4,1,90
7,11,6,3,74
14,16,4,1,134
4,4,6,3,100
2,6,2,1,79
14,16,3,3,136
10,14,4,3,90
0,4,6,1,146
1,6,6,1,67
15,20,3,3,71
0,12,1,2,61
12,17,0,1,84
9,18,5,3,65
14,5,2,2,92
13,9,6,2,55
13,5,5,2,87
9,14,1,1,102
14,13,2,1,146
12,9,1,1,59
6,4,2,2,99
13,21,1,3,98
15,21,0,3,104
3,22,2,2,146
5,20,3,1,92
12,19,6,2,63
3,0,6,2,124
0,3,2,3,106
15,11,0,3,59
11,10,5,3,100
12,19,2,3,143
1,13,2,3,110
3,4,0,1,92
6,22,6,1,57
9,5,4,2,92
8,18,6,2,126
6,4,4,2,137
5,4,2,2,120
14,8,0,2,131
2,19,0,2,115
0,2,6,1,113
1,6,3,3,137
5,8,2,3,77
7,2,2,3,133
9,10,2,2,131
6,6,2,2,99
13,16,4,1,141
14,21,2,1,66
2,14,2,2,62
4,2,6,2,78
13,9,2,2,65
2,13,1,3,64
13,21,5,2,120
7,2,2,1,80
6,8,3,1,117
15,21,1,2,100
10,19,5,3,70
3,12,1,2,144
11,19,3,1,62
7,14,6,1,91
2,15,4,2,90
9,17,3,1,114
9,2,4,1,112
9,18,5,2,65
2,22,0,3,101
15,0,6,2,150
10,8,5,3,79
0,14,5,2,60
